Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0603212602811141,0.0650115074142707,0.02162446729854,0,0,0,0.50142029465297,0.000319514636903112,-7.87438279933821E-08,-3.28639901204E-07,0.000333118854517782,-1.2582250163801E-08,0.000510935815274996,0,0,0,0,0,0,package://arm_gripper_urdf/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm_gripper_urdf/meshes/base_link.STL,,z_axis_step-1,global_coordi,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
zaxis,-0.00716005792070847,0.00404721155954859,0.0365015581064805,0,0,0,1.33461322322797,0.00294407502659064,7.60099411489531E-05,1.20714449731523E-05,0.00302546474877606,-7.39450020622318E-06,0.00523883860594506,0,0,0,0,0,0,package://arm_gripper_urdf/meshes/zaxis.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm_gripper_urdf/meshes/zaxis.STL,,arm_base_step-1,z_axis_coordi,z_axis,z_axis,revolute,0.0211020680489503,0.0649999999999998,0.0950000000000002,0,0,0,base_link,0,0,1,0,0,0,6.24,,,,,,,,
link1,0.0342960393506419,0.0650866615949618,0.260139710834608,0,0,0,0.471717784430801,0.0048215045864105,-2.95077784158004E-09,-0.000442320588912317,0.00469876738868576,-1.91396301469037E-09,0.000540612480368946,0,0,0,0,0,0,package://arm_gripper_urdf/meshes/link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm_gripper_urdf/meshes/link1.STL,,link1_step-1,link1_coordi,link1_axis,link_1,revolute,0.0717427736589908,-0.118676975137196,0.0429999999999999,0,0,-0.539222444193772,zaxis,0,1,0,0,0,0.52,2.2,,,,,,,,
link2,-0.0111842896220878,0.0390244957145194,0.0568810553641114,0,0,0,0.56505728937743,0.000736827471110781,-1.02697637259464E-10,5.1414535348473E-05,0.00112037157600434,5.72166182908804E-12,0.00102896352167454,0,0,0,0,0,0,package://arm_gripper_urdf/meshes/link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm_gripper_urdf/meshes/link2.STL,,link2_step-1,link2_coordi,link2_axis,link_2,revolute,0.0463762994663664,0.0259999999999979,0.447603886095535,0,0.103241752091021,0,link1,0,-1,0,0,0,-1,1,,,,,,,,
link3,-0.15229382933397,0.000156854221345315,0.00310777146765556,0,0,0,0.878471466072429,0.000362156422178765,-3.12472541195768E-11,-2.12308143553033E-07,0.00439952004825401,-3.79063978101467E-08,0.00435043337988437,0,0,0,0,0,0,package://arm_gripper_urdf/meshes/link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm_gripper_urdf/meshes/link3.STL,,link3_step-1,link3_coordi,link3_axis,link_3,revolute,0.067242668214866,0.0390000000000044,0.0871856567347071,0.468343930204125,-0.299928960515459,0,link2,-1,0,0,0,0,0,6.28,,,,,,,,
wrist1,-0.00151017412525437,0.0524789597245494,0.0116604873944556,0,0,0,0.148650042219505,3.34444822230191E-05,5.00779885062825E-10,8.60606304733012E-07,3.64087946207514E-05,-5.3279704581146E-10,2.6910358122397E-05,0,0,0,0,0,0,package://arm_gripper_urdf/meshes/wrist1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm_gripper_urdf/meshes/wrist1.STL,,Bevel_Gear_Assembly_step-1,wrist_coordi_1,wrist_axis_1,wrist_1,revolute,-0.544000000000017,-0.0524800000000021,0,0,0,0,link3,0,1,0,0,0,-1.57,1.57,,,,,,,,
gripper-base,3.49703257014611E-05,-0.0166081836484884,0.00245791883868079,0,0,0,0.413549848316491,0.000518022183409299,-2.99453705129393E-07,-6.16065422654147E-07,0.00324028081480373,-1.37365900028011E-05,0.00283649097301424,0,0,0,0,0,0,package://arm_gripper_urdf/meshes/gripper-base.STL,1,1,1,0.25,0,0,0,0,0,0,package://arm_gripper_urdf/meshes/gripper-base.STL,,final assembly-1/gripperbase1-1;final assembly-1/socket head cap screw_is-4;final assembly-1/socket head cap screw_is-3;final assembly-1/Rod-1;final assembly-1/Rod-4;final assembly-1/rack spur rectangular.step-1;final assembly-1/socket head cap screw_is-1;final assembly-1/socket head cap screw_is-2,wrist-coordi,gripper_wrist_axis,gripper-wrist,continuous,-0.00704202903975437,0.0524785020943702,0.0543441409794076,-1.65253448174348,0.0997346165681447,2.45313293712552,wrist1,0,-1,0,,,,,,,,,,,,
claw1,0.02549326292166,-0.0438997271227292,-0.00962893950260642,0,0,0,0.0969827563371482,1.81542355458617E-05,-3.4227080855438E-07,-1.12963395426777E-06,3.24587841714838E-05,2.45205523852197E-08,2.18715307415096E-05,0,0,0,0,0,0,package://arm_gripper_urdf/meshes/claw1.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://arm_gripper_urdf/meshes/claw1.STL,,final assembly-1/hub-3;final assembly-1/SG90 - Micro Servo 9g - Tower Pro.1-2;final assembly-1/Stepper motor 28BYJ-48 5V-4;final assembly-1/spur gear-2,wrist-coordi,claw 1 axis <final assembly-1>,claw1-slide,prismatic,0,0,0,0,0,0,gripper-base,1,0,0,0,0,-0.053,0.053,,,,,,,,
finger1,-0.00709221732505511,-0.0522490411599353,0.000137460998135976,0,0,0,0.0165732372278614,5.35494385454589E-06,-2.42629156140275E-07,-4.65175481726915E-09,4.13132761397344E-06,-1.31654832542712E-08,1.59037915575076E-06,0,0,0,0,0,0,package://arm_gripper_urdf/meshes/finger1.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://arm_gripper_urdf/meshes/finger1.STL,,final assembly-1/upper plate-2;final assembly-1/PLA rod at joint 53mm-7;final assembly-1/front  lower part-2;final assembly-1/end  tip-2,Coordinate System1,finger 1 axis <final assembly-1>,finger1-rotate,revolute,0.0086586,-0.060063,0.0013876,0,0,0,claw1,0,0,1,0,0,0,0.769,,,,,,,,
claw2,-0.0252889521008238,-0.0441107341461657,0.0109916971832964,0,0,0,0.0983378412337925,1.8458831390781E-05,3.42267710596492E-07,-1.12964259635216E-06,3.27633747747371E-05,-2.45175752188469E-08,2.18756138577448E-05,0,0,0,0,0,0,package://arm_gripper_urdf/meshes/claw2.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://arm_gripper_urdf/meshes/claw2.STL,,final assembly-1/spur gear-1;final assembly-1/Stepper motor 28BYJ-48 5V-2;final assembly-1/hub-1;final assembly-1/PLA rod at joint 53mm-4;final assembly-1/SG90 - Micro Servo 9g - Tower Pro.1-1;final assembly-1/hexa csunk raisedhd screw_iso-4;final assembly-1/hexa csunk raisedhd screw_iso-9,wrist-coordi,claw 2 axis <final assembly-1>,claw2-slide,prismatic,0,0,0,0,0,0,gripper-base,1,0,0,0,0,-0.053,0.053,,,,,,,,
